medicine_name
Amoxicillin
Azithromycin
Ibuprofen
Paracetamol
Omeprazole
Lisinopril
Metformin
Amlodipine
Albuterol
Gabapentin
Sertraline
Losartan
Furosemide
Pantoprazole
Prednisone
Escitalopram
Fluoxetine
Doxycycline
Ciprofloxacin
Cephalexin
Atorvastatin
Simvastatin
Levothyroxine
Metoprolol
Meloxicam
Clopidogrel
Aspirin
Tramadol
Zolpidem
Citalopram
Trazodone
Alprazolam
Clonazepam
Diazepam
Lorazepam
Cyclobenzaprine
Montelukast
Fluticasone
Tamsulosin
Ondansetron
Promethazine
Diclofenac
Naproxen
Celecoxib
Allopurinol
Insulin Glargine
Sitagliptin
Duloxetine
Venlafaxine
Bupropion
